sw_id,char,daxu_gloss,daxu_yisheng,xiaoxu_yisheng,xiaoxu_phonetic,xiaoxu_text,match_score,match_conf,agreement
3365,舜,艸也。楚謂之葍，秦謂之藑。蔓地連華。象形。从舛，舛亦聲。凡䑞之屬皆从䑞。(今隸變作舜。),True,True,舛,艸也楚謂之葍秦謂之藑蔓地連華象形从舛亦聲凡䑞之屬皆从䑞,0.9,high,both
3574,朻,高木也。从木丩聲。,False,True,丩,高木也从木丩丩亦聲,0.93,high,xiaoxu_only
3652,柵,編樹木也。从木从冊，冊亦聲。,True,,,反木帳也从木屋聲,0.56,low,not_aligned
3695,櫑,龜目酒尊，刻木作雲雷象。象施不窮也。从木畾聲。,False,True,畾,龜目酒樽刻木作雲雷象施不窮也从木畾亦聲,0.92,high,xiaoxu_only
3786,枰,平也。从木从平，平亦聲。,True,,,橋也从木从水刄聲,0.62,low,not_aligned
3802,杽,械也。从木从手，手亦聲。,True,True,手,械也从木手手亦聲,0.93,high,both
3850,糶,出穀也。从出从䊮，䊮亦聲。,True,,,,0,none,not_aligned
3967,貧,財分少也。从貝从分，分亦聲。,True,False,,財分少也从貝分聲,0.89,high,daxu_only
3998,鄯,鄯善，西胡國也。从邑从善，善亦聲。,True,True,善,鄯善西胡國也从邑善善亦聲,0.96,high,both
4189,晛,日見也。从日从見，見亦聲。《詩》曰：“見晛曰消。”,True,,,日見也从日見見亦聲詩曰見晛曰消年電反天清也从日安聲,0.72,medium,not_aligned
4248,晬,周年也。从日、卒，卒亦聲。,True,,,尚冥也从日勿聲,0.53,low,not_aligned
4280,旄,幢也。从㫃从毛，毛亦聲。,True,False,,幢也从㫃毛聲,0.86,high,daxu_only
4325,圅,舌也。象形。舌體𢎘。𢎘从𢎘，𢎘亦聲。,True,,,平也象形凡齊之屬皆从齊,0.35,low,not_aligned
4329,𣐺,木垂華實。从木、𢎘，𢎘亦聲。凡𣐺之屬皆从𣐺。,True,,,木垂華實也从木□□亦聱棗凡之屬皆从棗闕,0.63,low,not_aligned
4634,窞,坎中小坎也。从穴从臽，臽亦聲。《易》曰：“入于坎窞。”一曰㫄入也。,True,,,小遂反極也从穴躬聲,0.32,low,not_aligned
4640,竀,正視也。从穴中正見也，正亦聲。,True,,,邪下也从穴瓜聲,0.44,low,not_aligned
4726,瘧,熱寒休作。从疒从虐，虐亦聲。,True,,,,0,none,not_aligned
4776,冠,絭也。所以絭髮，弁冕之緫名也。从冂从元，元亦聲。冠有法制，从寸。,True,True,元,絭也所以絭髪弁冕之惣名从冂元元亦聲冠有法制从寸,0.87,high,both
4777,冣,積也。从冂从取，取亦聲。,True,True,取,積也从冂取取亦聲,0.93,high,both
4789,兩,二十四銖爲一兩。从一；㒳，平分，亦聲。,True,True,㒳,二十四銖為一兩从一从㒳兩平分也㒳亦聲,0.8,high,both
4794,𦌾,网也。从网、繯，繯亦聲。一曰綰也。,True,True,繯,网也从网繯繯亦聲也一曰綰也,0.96,high,both
